pos_izq,pos_der,vel_izq,vel_der,yaw,error_traj,delta_v,dist_restante,reward,done
-22,-72,-274,-275,12,0,10.5038,0.287,0,0
-40,-90,-245,-267,13,0,13.609,0.27,0,0
-49,-102,-223,-271,12,0,15.7423,0.27,0,0
-65,-122,-208,-288,12,0,19.559,0.251,0,0
-73,119,-212,-297,10,0,26.4532,0.251,0,0
-90,98,-208,-304,9,0,28.023,0.226,0,0
-99,84,-192,-313,6,0,29.0384,0.226,0,0
-109,66,-175,-314,4,0,28.5292,0.207,0,0
-120,47,-168,-322,4,0,28.7043,0.207,0,0
-126,34,-163,-311,2,0,27.0382,0.207,0,0
118,12,-165,-312,0,0,18.5517,0.19,0,0
112,0,-167,-311,0,0,18.3903,0.19,0,0
103,-16,-182,-314,-4,0,13.988,0.176,0,0
95,-29,-198,-311,-7,0,10.0248,0.176,0,0
84,-45,-212,-303,-7,0,7.68551,0.176,0,0
77,-60,-222,-290,-9,0,3.63857,0.153,0,0
60,-80,-227,-280,-11,0,0.698775,0.153,0,0
48,-94,-245,-271,-12,0,-2.72713,0.148,0,0
29,-111,-250,-262,-12,0,-4.17668,0.148,0,0
19,-126,-257,-260,-13,0,-5.67059,0.148,0,0
3,117,-267,-251,-13,0,-8.17278,0.176,0,0
-14,103,-271,-246,-13,0,-8.90381,0.176,0,0
-25,93,-280,-239,-12,0,-9.63322,0.101,0,0
-43,77,-281,-230,-11,0,-10.7005,0.101,0,0
-59,64,-284,-227,-11,0,-11.7595,0.085,0,0
-78,51,-327,-207,-9,0,-21.9374,0.085,0,0
-99,37,-337,-216,0,0,-13.3389,0.085,0,0
-112,27,-301,-196,11,0,2.2344,0.059,0,0
127,16,-308,-232,15,0,3.77835,0.059,0,0
108,0,-249,-248,15,0,12.2414,0.04,0,0
97,-11,-220,-259,15,0,16.652,0.04,0,0
84,-30,-222,-276,14,0,17.5539,0.024,0,0
71,-44,-210,-288,12,0,19.3257,0.024,0,0
61,-59,-212,-310,12,0,22.5468,0.024,0,0
51,-73,-210,-305,10,0,20.4077,0.004,0,0
40,-90,-212,-304,10,0,19.5348,0.004,0,0
32,-102,-204,-310,8,0,19.5292,0.004,0,0
20,-119,-202,-313,8,0,0,-0.015,0,1
-11,90,0,0,0,0,-7.03187,0.024,0,0
-11,90,0,0,0,0,-7.03187,0.024,0,0
-11,90,-6,-13,1,0,-4.55192,0.153,0,0
-23,80,-238,-224,1,0,0.225614,0.153,0,0
-34,68,-305,-269,1,0,-2.40268,0.323,0,0
-59,48,-298,-265,0,0,-2.36635,0.323,0,0
-72,31,-263,-255,0,0,1.66007,0.468,0,0
-92,14,-252,-251,0,0,4.79253,0.468,0,0
-106,2,-250,-258,-2,0,7.36404,0.468,0,0
-123,-17,-246,-266,-2,0,12.6387,0.554,0,0
123,-28,-244,-272,0,0,5.75753,0.554,0,0
105,-48,-240,-277,2,0,7.89468,0.554,0,0
93,-64,-230,-288,2,0,10.1436,0.579,0,0
83,-76,-230,-276,2,0,8.62957,0.584,0,0
68,-92,-233,-270,0,0,6.45682,0.584,0,0
58,-108,-224,-267,-1,0,6.67069,0.584,0,0
45,-120,-227,-278,-1,0,8.11653,0.57,0,0
35,124,-236,-279,-2,0,1.18339,0.57,0,0
25,109,-240,-277,-2,0,0.87592,0.539,0,0
8,94,-243,-286,-2,0,1.90108,0.539,0,0
-7,73,-245,-263,-4,0,-1.33238,0.531,0,0
-23,61,-247,-262,-4,0,-1.44864,0.531,0,0
-33,50,-248,-258,-4,0,-1.76672,0.531,0,0
-48,35,-260,-254,-4,0,-3.08043,0.51,0,0
-59,24,-262,-257,-4,0,-2.65859,0.51,0,0
-69,14,-263,-248,-4,0,-3.5961,0.485,0,0
-91,-6,-263,-253,-4,0,-1.66284,0.485,0,0
-99,-16,-256,-251,-3,0,1.99529,0.485,0,0
-121,-36,-265,-250,-3,0,5.96333,0.464,0,0
126,-48,-260,-263,-3,0,1.01447,0.464,0,0
107,-65,-247,-263,-3,0,2.22513,0.447,0,0
94,-78,-247,-275,-3,0,3.5262,0.447,0,0
81,-98,-253,-259,-3,0,1.41159,0.447,0,0
53,-122,-248,-260,-4,0,1.59321,0.428,0,0
44,125,-251,-257,-4,0,-2.11238,0.405,0,0
29,110,-251,-267,-4,0,-1.51031,0.392,0,0
17,97,-250,-263,-4,0,-1.58917,0.392,0,0
7,88,-249,-264,-4,0,-1.42098,0.392,0,0
-3,76,-252,-257,-4,0,-2.39059,0.392,0,0
-20,58,-252,-259,-4,0,-2.2242,0.368,0,0
-35,42,-261,-259,-4,0,-2.94356,0.368,0,0
-52,27,-265,-250,-4,0,-3.99423,0.368,0,0
-72,7,-259,-248,-3,0,-2.46336,0.348,0,0
-89,-8,-257,-254,-3,0,-0.563683,0.348,0,0
-99,-18,-250,-261,-4,0,2.68982,0.333,0,0
-112,-34,-238,-275,-4,0,7.46182,0.333,0,0
-123,-46,-258,-266,-10,0,2.24565,0.314,0,0
118,-60,-268,-256,-16,0,-9.41556,0.314,0,0
103,-75,-247,-259,-15,0,-6.01329,0.297,0,0
86,-92,-258,-225,-13,0,-9.41011,0.297,0,0
69,-106,-287,-232,-13,0,-11.8095,0.278,0,0
57,-116,-284,-244,-13,0,-10.1164,0.278,0,0
41,125,-277,-238,-12,0,-10.4271,0.278,0,0
31,115,-282,-227,-11,0,-10.5549,0.27,0,0
12,102,-286,-234,-10,0,-9.51993,0.27,0,0
-14,80,-286,-235,-10,0,-10.2664,0.242,0,0
-39,59,-282,-232,-9,0,-10.1373,0.216,0,0
-54,48,-283,-229,-7,0,-10.1099,0.216,0,0
-78,29,-282,-231,-6,0,-8.69226,0.207,0,0
-101,9,-288,-231,-5,0,-5.19283,0.207,0,0
-124,-11,-287,-234,-3,0,2.36044,0.188,0,0
106,-30,-272,-234,-2,0,-3.38498,0.171,0,0
90,-44,-271,-252,-1,0,-0.750703,0.171,0,0
71,-62,-259,-251,-1,0,0.399417,0.147,0,0
57,-76,-263,-253,-1,0,0.287033,0.147,0,0
37,-96,-261,-259,-1,0,1.29947,0.136,0,0
23,-109,-253,-257,0,0,2.69866,0.136,0,0
10,-122,-250,-256,0,0,3.4518,0.136,0,0
-4,119,-256,-266,0,0,2.1643,0.117,0,0
-16,106,-254,-257,0,0,1.97659,0.117,0,0
-30,93,-248,-259,0,0,3.79806,0.097,0,0
-39,82,-251,-262,0,0,3.98106,0.097,0,0
