pos_izq,pos_der,vel_izq,vel_der,yaw,error_traj,delta_v,dist_restante
120,-9,-172,-312,11,3.88889,20.106,0.095
110,-28,-191,-319,7,2.77778,15.2774,0.075
99,-43,-193,-315,7,2.77778,15.2774,0.075
87,-63,-201,-317,4,1.94444,11.254,0.075
77,-78,-204,-327,4,1.94444,11.254,0.055
65,-97,-230,-334,4,1.94444,11.254,0.055
50,-118,-208,-295,-3,0,0,0.055
41,127,-243,-289,-3,0,0,0.055
33,111,-198,-310,-23,-5.55556,-26.549,0.314
15,93,-323,-338,-33,-8.33333,-35.9781,0.314
-1,78,-346,-226,-33,-8.33333,-35.9781,0.314
-40,55,-323,-169,-34,-8.61111,-36.8703,0.07
-53,48,-293,-136,-30,-7.5,-33.2604,0.07
-75,38,-319,-137,-25,-6.11111,-28.5334,0.041
-99,27,-343,-147,-12,-2.5,-13.99,0.041
-119,18,-303,-140,6,2.5,13.99,0.016
117,10,-311,-155,13,4.44444,22.3542,0.033
95,-4,-317,-293,17,5.55556,26.549,0.033
77,-32,-207,-332,17,5.55556,26.549,0.012
65,-49,-183,-326,17,5.55556,26.549,0.012
55,-68,-159,-317,15,5,24.4869,0.012
31,-115,0,-3,-4,-0.277778,-1.81818,0.085
31,-115,0,0,-4,-0.277778,-1.81818,0.085
30,-116,-79,-149,-10,-1.94444,-11.254,0.085
17,126,-309,-319,-13,-2.77778,-15.2774,0.198
0,111,-362,-331,-13,-2.77778,-15.2774,0.198
-27,88,-339,-286,-20,-4.72222,-23.4314,0.432
-39,74,-262,-196,-20,-4.72222,-23.4314,0.432
-52,66,-282,-180,-29,-7.22222,-32.3375,0.324
-70,55,-300,-203,-29,-7.22222,-32.3375,0.324
-89,42,-352,-178,-35,-8.88889,-37.7596,0.287
-118,28,-310,-156,-33,-8.33333,-35.9781,0.287
125,22,-320,-135,-28,-6.94444,-31.4037,0.287
102,11,-311,-134,-25,-6.11111,-28.5334,0.279
87,5,-314,-155,-22,-5.27778,-25.5253,0.279
57,-10,-316,-159,-18,-4.16667,-21.2415,0.312
34,-22,-311,-174,-18,-4.16667,-21.2415,0.233
15,-32,-309,-177,-14,-3.05556,-16.5345,0.233
-9,-50,-315,-203,-12,-2.5,-13.99,0.205
-29,-60,-316,-204,-8,-1.38889,-8.35758,0.205
-47,-72,-318,-226,-8,-1.38889,-8.35758,0.205
-65,-84,-320,-235,-5,-0.555556,-3.55942,0.188
-81,-98,-320,-262,-3,0,0,0.188
-107,-119,-315,-268,-2,0.277778,1.81818,0.171
-127,118,-314,-308,0,0.833333,5.20155,0.153
103,90,-312,-321,0,0.833333,5.20155,0.153
81,68,-296,-322,0,0.833333,5.20155,0.153
63,52,-293,-308,0,0.833333,5.20155,0.128
52,40,-282,-309,0,0.833333,5.20155,0.105
36,21,-277,-318,0,0.833333,5.20155,0.105
21,3,-278,-313,-1,0.555556,3.55942,0.085
-1,-21,-285,-317,-1,0.555556,3.55942,0.085
-21,-43,-284,-308,-2,0.277778,1.81818,0.063
-35,-58,-279,-316,-2,0.277778,1.81818,0.063
-50,-74,-282,-317,-2,0.277778,1.81818,0.063
-73,-100,-294,-310,-3,0,0,0.041
-84,-111,-297,-317,-4,-0.277778,-1.81818,0.041
-106,118,-302,-317,-4,-0.277778,-1.81818,0.031
-123,104,-307,-313,-4,-0.277778,-1.81818,0.031
80,48,0,0,22,6.94444,31.4037,0.006
80,48,0,0,22,6.94444,31.4037,0.006
80,48,0,0,32,9.72222,40.4012,0.006
80,48,0,0,37,11.1111,44.7865,0.147
80,48,-87,-182,39,11.6667,46.5476,0.195
70,28,-171,-342,38,11.3889,45.6629,0.195
64,12,-151,-341,38,11.3889,45.6629,0.195
57,-3,-111,-251,36,10.8333,43.9059,0.239
51,-20,-89,-250,36,10.8333,43.9059,0.239
47,-36,-130,-349,36,10.8333,43.9059,0.224
35,-59,-134,-309,32,9.72222,40.4012,0.224
27,-82,-124,-316,28,8.61111,36.8703,0.197
19,-99,-113,-313,28,8.61111,36.8703,0.197
16,-108,-113,-308,28,8.61111,36.8703,0.197
11,-120,-118,-303,23,7.22222,32.3375,0.176
4,118,-124,-310,23,7.22222,32.3375,0.176
0,108,-128,-310,15,5,24.4869,0.176
-9,87,-153,-310,15,5,24.4869,0.176
-16,75,-161,-323,12,4.16667,21.2415,0.176
-24,54,-178,-313,8,3.05556,16.5345,0.147
-37,35,-193,-319,8,3.05556,16.5345,0.147
-48,15,-212,-310,4,1.94444,11.254,0.115
-67,-10,-223,-313,4,1.94444,11.254,0.115
-77,-24,-213,-317,1,1.11111,6.80481,0.093
-98,-57,-232,-315,-2,0.277778,1.81818,0.093
-121,-86,-251,-317,-5,-0.555556,-3.55942,0.071
118,-106,-282,-319,-7,-1.11111,-6.80481,0.071
95,125,-297,-314,-7,-1.11111,-6.80481,0.053
74,98,-317,-291,-8,-1.38889,-8.35758,0.039
49,80,-316,-282,-7,-1.11111,-6.80481,0.039
34,68,-313,-278,-7,-1.11111,-6.80481,0.039
17,54,-321,-264,-7,-1.11111,-6.80481,0.016
7,44,-315,-267,-6,-0.833333,-5.20155,0.016
-45,-4,0,0,1,1.11111,6.80481,0.035
-45,-4,0,0,1,1.11111,6.80481,0.035
-47,-4,-20,-37,2,1.38889,8.35758,0.22
-57,-13,-254,-310,3,1.66667,9.83532,0.22
-73,-32,-315,-363,3,1.66667,9.83532,0.342
-89,-50,-291,-338,3,1.66667,9.83532,0.342
-103,-67,-259,-315,-2,0.277778,1.81818,0.342
-115,-81,-249,-317,-2,0.277778,1.81818,0.409
-127,-97,-242,-308,-7,-1.11111,-6.80481,0.409
118,-112,-240,-311,-7,-1.11111,-6.80481,0.436
103,124,-270,-274,-7,-1.11111,-6.80481,0.436
86,108,-331,-296,-6,-0.833333,-5.20155,0.42
62,90,-326,-289,-6,-0.833333,-5.20155,0.42
48,76,-316,-277,-5,-0.555556,-3.55942,0.42
24,51,-319,-284,-5,-0.555556,-3.55942,0.396
7,40,-311,-280,-4,-0.277778,-1.81818,0.396
-16,20,-320,-284,-3,0,0,0.377
-31,8,-314,-291,-3,0,0,0.377
-51,-16,-245,-328,-3,0,0,0.359
-63,-30,-309,-325,-3,0,0,0.359
-90,-56,-357,-318,-19,-4.44444,-22.3542,0.34
-105,-69,-324,-302,-17,-3.88889,-20.106,0.34
-123,-90,-321,-194,-15,-3.33333,-17.7622,0.31
106,-102,-312,-190,-15,-3.33333,-17.7622,0.31
93,-112,-309,-206,-12,-2.5,-13.99,0.31
67,-128,-310,-207,-12,-2.5,-13.99,0.283
50,115,-309,-221,-8,-1.38889,-8.35758,0.283
29,102,-328,-223,-8,-1.38889,-8.35758,0.278
15,94,-361,-197,-2,0.277778,1.81818,0.278
-11,78,-339,-241,12,4.16667,21.2415,0.242
-25,66,-321,-315,16,5.27778,25.5253,0.242
-44,44,-287,-330,16,5.27778,25.5253,0.224
-60,25,-229,-312,16,5.27778,25.5253,0.224
-67,13,-163,-316,15,5,24.4869,0.199
-78,-8,-161,-313,15,5,24.4869,0.199
-86,-24,-141,-346,-3,0,0,0.199
-95,-52,-126,-315,-3,0,0,0.178
-105,-69,-224,-324,-9,-1.66667,-9.83532,0.178
-119,-84,-301,-298,-22,-5.27778,-25.5253,0.176
119,-102,-327,-275,-22,-5.27778,-25.5253,0.176
92,-123,-333,-248,-20,-4.72222,-23.4314,0.171
78,121,-313,-170,-18,-4.16667,-21.2415,0.171
51,109,-304,-174,-15,-3.33333,-17.7622,0.139
30,96,-310,-195,-15,-3.33333,-17.7622,0.097
9,82,-311,-205,-13,-2.77778,-15.2774,0.097
-8,71,-312,-210,-10,-1.94444,-11.254,0.097
-29,58,-325,-208,-7,-1.11111,-6.80481,0.079
-45,47,-360,-199,7,2.77778,15.2774,0.079
-77,28,-336,-299,7,2.77778,15.2774,0.048
-94,5,-224,-330,18,5.83333,27.5483,0.04
-114,-22,-209,-301,18,5.83333,27.5483,0.04
127,-46,-196,-315,15,5,24.4869,0.014
114,-67,-173,-317,11,3.88889,20.106,0.014
74,117,0,0,2,1.38889,8.35758,0.078
74,117,0,0,2,1.38889,8.35758,0.078
72,114,-131,-198,-1,0.555556,3.55942,0.222
59,98,-285,-334,-1,0.555556,3.55942,0.222
45,82,-314,-356,-3,0,0,0.222
25,58,-301,-326,-3,0,0,0.321
7,41,-310,-310,-3,0,0,0.321
-15,20,-313,-313,-4,-0.277778,-1.81818,0.39
-27,6,-318,-317,-4,-0.277778,-1.81818,0.39
-47,-13,-316,-304,-7,-1.11111,-6.80481,0.404
-64,-30,-266,-236,-7,-1.11111,-6.80481,0.404
-77,-42,-304,-282,-7,-1.11111,-6.80481,0.404
-100,-62,-335,-303,-7,-1.11111,-6.80481,0.401
-115,-77,-326,-275,-5,-0.555556,-3.55942,0.375
113,-98,-320,-273,-5,-0.555556,-3.55942,0.375
102,-108,-310,-279,-5,-0.555556,-3.55942,0.375
84,-124,-319,-279,-5,-0.555556,-3.55942,0.356
69,118,-313,-285,-4,-0.277778,-1.81818,0.356
49,97,-264,-291,-4,-0.277778,-1.81818,0.341
38,86,-237,-293,-4,-0.277778,-1.81818,0.341
26,73,-287,-306,-4,-0.277778,-1.81818,0.341
