pos_izq,pos_der,vel_izq,vel_der,yaw,error_traj,delta_v,dist_restante
124,127,-292,-314,1,0.277778,1.81818,0.025
102,103,-292,-317,1,0.277778,1.81818,0.025
84,83,-293,-314,1,0.277778,1.81818,0.004
65,64,-299,-319,0,0,0,0.004
51,49,-291,-307,0,0,0,0.004
17,14,0,-2,0,0,0,0.054
17,14,0,0,-7,-1.94444,-11.254,0.054
17,13,0,-42,-7,-1.94444,-11.254,0.171
17,5,0,-295,-16,-4.44444,-22.3542,0.171
17,-13,0,-294,-16,-4.44444,-22.3542,0.39
17,-23,0,-270,-27,-7.5,-33.2604,0.39
17,-32,0,-229,-27,-7.5,-33.2604,0.39
17,-44,0,-195,-34,-9.44444,-39.5203,0.459
16,-54,-17,-176,-45,-12.5,-49.2201,0.459
0,-66,-436,-132,-52,-14.4444,-55.5669,0.176
-38,-74,-390,-117,-60,-16.6667,-63.0513,0.176
-57,-78,-218,-66,-67,-18.6111,-69.8828,0.146
-70,-83,-249,-96,-67,-18.6111,-69.8828,0.146
-81,-87,-297,-73,-68,-18.8889,-70.9055,0.146
-102,-91,-316,-58,-68,-18.8889,-70.9055,0.409
-112,-93,-318,-64,-63,-17.5,-65.932,0.409
123,-97,-326,-44,-57,-15.8333,-60.2182,0.413
98,-100,-317,-56,-52,-14.4444,-55.5669,0.413
80,-104,-320,-72,-52,-14.4444,-55.5669,0.476
57,-109,-316,-79,-47,-13.0556,-51.0306,0.476
41,-114,-303,-88,-42,-11.6667,-46.5476,0.484
22,-119,-305,-83,-42,-11.6667,-46.5476,0.484
10,-125,-306,-101,-36,-10,-41.2785,0.484
-13,124,-309,-108,-31,-8.61111,-36.8703,0.472
-35,117,-307,-112,-31,-8.61111,-36.8703,0.472
-54,110,-312,-126,-27,-7.5,-33.2604,0.479
-67,105,-320,-138,-27,-7.5,-33.2604,0.479
-89,94,-315,-153,-22,-6.11111,-28.5334,0.479
-103,87,-317,-160,-18,-5,-24.4869,0.479
-121,78,-319,-165,-15,-4.16667,-21.2415,0.479
112,66,-312,-169,-15,-4.16667,-21.2415,0.479
99,58,-319,-198,-11,-3.05556,-16.5345,0.705
74,43,-315,-202,-8,-2.22222,-12.6345,0.705
61,34,-316,-213,-5,-1.38889,-8.35758,0.705
34,16,-314,-222,-5,-1.38889,-8.35758,0.684
14,-1,-316,-258,-3,-0.833333,-5.20155,0.684
-1,-11,-319,-261,-1,-0.277778,-1.81818,0.66
-17,-25,-323,-264,-1,-0.277778,-1.81818,0.66
-36,-41,-317,-284,0,0,0,0.638
-56,-59,-309,-289,0,0,0,0.638
-72,-77,-318,-304,1,0.277778,1.81818,0.612
-91,-95,-319,-313,1,0.277778,1.81818,0.612
